NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Calistoga,Napa,Calistoga,Napa,38.57879660000,-122.57970540000,1.00000000000,1886,0,0,0,467,0,690,751,850,1,1,1,2,2,4,4,5
Callahan,Siskiyou,Callahan,Siskiyou,41.30958850000,-122.80141770000,1.00000000000,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0
Camp Gaston,Klamath,Gaston,Nevada,39.39406570000,-120.74160590000,0.60740740741,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0
Campo Seco,Calaveras,Campo Seco,Calaveras,38.22714000000,-120.85327090000,1.00000000000,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
Canada Hill,Placer,Canada Hill,Placer,39.17629220000,-120.52937100000,1.00000000000,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Canyon City,Trinity,Canyon City,Trinity,40.83153120000,-123.05280910000,1.00000000000,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon Creek,El Dorado,Canyon Creek,El Dorado,38.91712320000,-120.73715230000,1.00000000000,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson Hill,Calaveras,Carson Hill,Calaveras,38.02825640000,-120.50658770000,1.00000000000,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Caspar,Mendocino,Caspar,Mendocino,39.36350490000,-123.81584880000,1.00000000000,0,0,0,196,0,206,0,0,0,0,0,0,0,0,0,0,0
Castroville,Monterey,Castroville,Monterey,36.76579040000,-121.75800500000,1.00000000000,0,0,0,436,533,641,0,0,0,0,0,2,3,3,4,5,7
Cedarville,Modoc,Cedarville,Modoc,41.52906060000,-120.17327810000,1.00000000000,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0
Centerville,El Dorado,Cedarville,El Dorado,38.56879560000,-120.64854080000,0.92667566896,0,0,0,0,203,0,0,0,0,0,0,1,0,0,0,0,0
